sitename,county,aqi,pollutant,status,so2,co,o3,o3_8hr,pm10,pm2.5,no2,nox,no,windspeed,winddirec,datacreationdate,unit,co_8hr,pm2.5_avg,pm10_avg,so2_avg,longitude,latitude,siteid
潮州,屏東縣,26,,良好,0.3,0.19,13.8,19.2,30,6,4.9,5.4,0.5,1.1,39,2024-06-05 07:00,,0.1,5.7,26,1,120.561175,22.523108,60
屏東,屏東縣,26,,良好,1,0.3,20.4,28.6,19,3,6.6,7.8,1.1,0.6,34,2024-06-05 07:00,,0.2,3.3,18,1,120.488033,22.673081,59
小港,高雄市,27,,良好,1.7,0.29,21.1,27.4,13,3,16.2,18.2,2,1.1,43,2024-06-05 07:00,,0.2,5.2,9,1,120.337736,22.565833,58
前鎮,高雄市,26,,良好,1.2,0.42,26.4,28.0,19,6,12.8,14.5,1.7,1,351,2024-06-05 07:00,,0.3,3.1,12,1,120.30833356,22.6044507,57
前金,高雄市,30,,良好,0.2,0.26,29.5,32.4,10,2,6.6,7.5,0.8,1.2,341,2024-06-05 07:00,,0.2,2.7,8,0,120.28676111,22.63390278,56
左營,高雄市,27,,良好,0.6,0.34,25.9,27.4,17,8,11.3,12.1,0.7,1.1,18,2024-06-05 07:00,,0.2,8.4,14,0,120.292917,22.674861,54
楠梓,高雄市,25,,良好,0.4,0.25,19.9,25.3,13,4,15.5,18.1,2.6,0.6,47,2024-06-05 07:00,,0.2,4.5,14,1,120.328289,22.733667,53
林園,高雄市,25,,良好,1,0.22,19.9,27.6,30,5,5.4,6.4,1,0.4,53,2024-06-05 07:00,,0.2,6.2,23,1,120.41175,22.4795,52
大寮,高雄市,21,,良好,1.1,0.3,12.5,20.8,27,10,12.9,14.8,1.9,0.6,72,2024-06-05 07:00,,0.2,6.5,21,3,120.425311,22.56413611,51
鳳山,高雄市,28,,良好,1.4,0.4,24.8,31.0,17,2,8.9,9.9,1,0.4,69,2024-06-05 07:00,,0.2,2.2,14,1,120.357422,22.628126,50
仁武,高雄市,32,,良好,2.3,0.32,16.3,22.6,16,9,19.4,23,3.5,0.7,64,2024-06-05 07:00,,0.2,6.9,13,1,120.332631,22.689056,49
橋頭,高雄市,22,,良好,1,0.26,13.4,24.6,25,10,11.4,12.8,1.3,0.3,58,2024-06-05 07:00,,0.2,6.5,16,1,120.305689,22.757506,48
美濃,高雄市,19,,良好,0.4,0.24,14.5,21.1,30,0,2.9,4,1,0.2,53,2024-06-05 07:00,,0.2,0.2,19,0,120.530542,22.883583,47
臺南,臺南市,39,,良好,1,0.37,23.5,29.9,20,14,18.1,19.5,1.3,0.5,43,2024-06-05 07:00,,0.2,12.1,16,0,120.21947897,22.98928311,46
安南,臺南市,35,,良好,0.4,0.32,22.5,28.2,22,8,12.7,14.6,1.9,0.3,357,2024-06-05 07:00,,0.2,10.7,18,1,120.2175,23.048197,45
善化,臺南市,27,,良好,0.6,0.21,20.7,27.1,20,11,5.7,6.6,0.9,0.7,26,2024-06-05 07:00,,0.1,8.3,14,1,120.29740529,23.11337642,44
新營,臺南市,31,,良好,0.7,0.29,21.9,34.2,20,6,12.1,14.7,2.5,0.3,41,2024-06-05 07:00,,0.2,3.7,17,1,120.31725,23.305633,43
嘉義,嘉義市,33,,良好,1,0.28,30.9,36.5,13,4,7.3,8.6,1.2,1.5,17,2024-06-05 07:00,,0.2,2.2,9,1,120.44125148,23.46477865,42
臺西,雲林縣,36,,良好,0.6,0.3,16.2,32.5,38,11,6.9,8,1,0.5,88,2024-06-05 07:00,,0.2,11.2,27,0,120.19933333,23.702175,41
朴子,嘉義縣,40,,良好,1.3,0.26,18.5,32.5,27,10,5.9,7.5,1.5,0.5,337,2024-06-05 07:00,,0.2,12.2,22,1,120.2478,23.46538,40
新港,嘉義縣,50,,良好,1.6,0.26,20.9,33.5,31,16,5.7,7.9,2.2,1,348,2024-06-05 07:00,,0.2,15.3,27,1,120.345531,23.554839,39
崙背,雲林縣,54,細懸浮微粒,普通,0.5,0.3,12.5,25.0,22,20,7.8,9.8,2,0.3,33,2024-06-05 07:00,,0.2,16.7,26,0,120.348742,23.757547,38
斗六,雲林縣,31,,良好,0.9,0.25,16.7,31.3,21,10,7.8,9.3,1.5,0.5,342,2024-06-05 07:00,,0.2,9.6,17,1,120.544994,23.711853,37
南投,南投縣,38,,良好,0.1,0.25,15.1,28.0,26,11,5.3,7.5,2.2,0.2,266,2024-06-05 07:00,,0.2,11.7,24,0,120.685306,23.913,36
二林,彰化縣,60,細懸浮微粒,普通,1.1,0.26,22.6,26.6,27,17,5.4,6.1,0.7,1,29,2024-06-05 07:00,,0.2,19.2,29,1,120.409653,23.925175,35
線西,彰化縣,41,,良好,1.1,0.3,15.3,30.2,37,16,11.4,12.4,1,0.4,301,2024-06-05 07:00,,0.2,12.7,26,1,120.469061,24.131672,34
彰化,彰化縣,36,,良好,0.7,0.4,17.5,30.8,28,14,15,17,2,0.5,7,2024-06-05 07:00,,0.2,11,22,1,120.541519,24.066,33
西屯,臺中市,44,,良好,1,0.38,9.4,30.0,17,7,23.7,30.2,6.4,0.8,31,2024-06-05 07:00,,0.2,13.4,22,1,120.616917,24.162197,32
忠明,臺中市,45,,良好,1.4,0.4,12.3,27.6,17,12,18.8,21.6,2.8,0.3,30,2024-06-05 07:00,,0.3,13.8,29,1,120.641092,24.151958,31
大里,臺中市,49,,良好,1.1,0.39,9.4,24.0,31,14,10,11.9,1.9,0.6,255,2024-06-05 07:00,,0.3,15,21,1,120.67844444,24.09961111,30
沙鹿,臺中市,38,,良好,1,0.31,23.9,34.7,15,7,13.3,14.4,1,0.5,17,2024-06-05 07:00,,0.2,11.7,16,1,120.568794,24.225628,29
豐原,臺中市,25,,良好,1.2,0.28,14.7,27.4,11,3,6.5,8.3,1.8,1.1,109,2024-06-05 07:00,,0.2,7.5,15,1,120.74252414,24.25699731,28
三義,苗栗縣,24,,良好,1,0.22,15.2,26.0,8,0,4.1,6,1.9,0.3,356,2024-06-05 07:00,,0.2,5.3,12,1,120.75956754,24.38248443,27
苗栗,苗栗縣,25,,良好,1.1,0.27,19.8,25.6,10,5,4,5.5,1.5,0.9,150,2024-06-05 07:00,,0.2,7.7,11,1,120.82011468,24.56499183,26
頭份,苗栗縣,28,,良好,1,0.3,15.7,29.3,16,7,9.3,11.1,1.8,0.5,122,2024-06-05 07:00,,0.2,8.7,14,1,120.89869286,24.69690679,25
新竹,新竹市,29,,良好,0.4,0.29,25.8,31.1,13,6,8.4,9.4,1,0.5,37,2024-06-05 07:00,,0.3,8.8,13,1,120.97236752,24.8056356,24
竹東,新竹縣,29,,良好,0.4,0.34,15.7,19.4,21,10,6.3,6.8,0.5,0.2,128,2024-06-05 07:00,,0.2,9,19,1,121.08895493,24.74091408,23
湖口,新竹縣,47,,良好,0.6,0.31,22.8,28.7,20,15,12.5,14.6,2,0.7,295,2024-06-05 07:00,,0.3,14.6,21,1,121.03886894,24.90009696,22
