sitename,county,aqi,pollutant,status,so2,co,o3,o3_8hr,pm10,pm2.5,no2,nox,no,windspeed,winddirec,datacreationdate,unit,co_8hr,pm2.5_avg,pm10_avg,so2_avg,longitude,latitude,siteid
崙背,雲林縣,55,細懸浮微粒,普通,0.5,0.26,18.2,32.5,27,14,6.5,8,1.4,0.2,93,2024-06-05 05:00,,0.2,17.2,27,0,120.348742,23.757547,38
斗六,雲林縣,37,,良好,2.5,0.25,22.6,40.5,17,7,8.1,9.2,1.1,0.2,84,2024-06-05 05:00,,0.2,10.5,20,1,120.544994,23.711853,37
南投,南投縣,34,,良好,0.1,0.21,18.4,34.7,24,11,3.1,4.6,1.4,0.2,100,2024-06-05 05:00,,0.2,10.4,22,0,120.685306,23.913,36
二林,彰化縣,64,細懸浮微粒,普通,0.8,0.26,19.8,34.6,35,20,4.4,4.9,0.4,0.7,358,2024-06-05 05:00,,0.2,20.7,31,1,120.409653,23.925175,35
線西,彰化縣,46,,良好,0.7,0.25,25.6,39.8,23,11,5.9,6.6,0.6,0.3,305,2024-06-05 05:00,,0.2,14.1,27,1,120.469061,24.131672,34
彰化,彰化縣,35,,良好,0.4,0.26,25.4,38.7,22,9,4,5.2,1.2,0.4,331,2024-06-05 05:00,,0.2,10.8,21,1,120.541519,24.066,33
西屯,臺中市,51,細懸浮微粒,普通,0.8,0.27,24.7,37.2,21,14,9.6,10.6,1,0.3,13,2024-06-05 05:00,,0.2,15.7,24,1,120.616917,24.162197,32
忠明,臺中市,44,,良好,1.2,0.36,15.9,37.6,18,16,13.6,14.9,1.3,0.3,16,2024-06-05 05:00,,0.3,13.6,20,1,120.641092,24.151958,31
大里,臺中市,54,細懸浮微粒,普通,1.1,0.27,20.2,34.0,10,10,5.3,5.8,0.4,0.7,109,2024-06-05 05:00,,0.3,16.7,21,1,120.67844444,24.09961111,30
沙鹿,臺中市,37,,良好,0.9,0.28,22.6,40.3,17,14,17.6,18,0.4,1.1,24,2024-06-05 05:00,,0.2,11.3,18,1,120.568794,24.225628,29
豐原,臺中市,31,,良好,0.9,0.22,21.3,33.6,12,3,2.9,3.8,0.9,1.9,115,2024-06-05 05:00,,0.2,9.5,16,1,120.74252414,24.25699731,28
三義,苗栗縣,28,,良好,1.1,0.23,20.1,30.9,13,3,6,7.2,1.2,0.3,11,2024-06-05 05:00,,0.2,8.4,15,1,120.75956754,24.38248443,27
苗栗,苗栗縣,28,,良好,0.9,0.16,26.9,26.9,9,7,1.9,3.4,1.5,0.7,350,2024-06-05 05:00,,0.2,8.5,12,1,120.82011468,24.56499183,26
頭份,苗栗縣,28,,良好,1.1,0.2,37,29.4,13,7,1.6,2.6,1,1,88,2024-06-05 05:00,,0.2,8.7,15,1,120.89869286,24.69690679,25
新竹,新竹市,33,,良好,0.3,0.23,43.8,28.5,9,8,3.9,4.7,0.8,1,76,2024-06-05 05:00,,0.4,10.3,12,1,120.97236752,24.8056356,24
竹東,新竹縣,28,,良好,0.4,0.22,23.4,20.0,20,8,3.5,3.8,0.2,0.2,67,2024-06-05 05:00,,0.2,8.5,17,1,121.08895493,24.74091408,23
湖口,新竹縣,49,,良好,0.5,0.23,36.5,28,15,11,5.3,6.5,1.2,0.6,67,2024-06-05 05:00,,0.3,15.2,22,1,121.03886894,24.90009696,22
龍潭,桃園市,49,,良好,0.8,0.25,18.6,22.8,27,13,11.9,12.8,0.9,0.4,137,2024-06-05 05:00,,0.3,15.1,26,1,121.21645772,24.86400048,21
平鎮,桃園市,44,,良好,0.7,0.33,19.9,27.6,25,12,14.2,15.3,1.1,0.4,105,2024-06-05 05:00,,0.4,13.5,25,1,121.203986,24.952786,20
觀音,桃園市,52,細懸浮微粒,普通,0.7,0.27,23.3,31.1,24,14,12.6,13.1,0.4,0.3,246,2024-06-05 05:00,,0.2,16,26,1,121.08283092,25.03556747,19
大園,桃園市,42,,良好,0.3,0.32,24.1,36.1,25,14,12.4,12.9,0.4,1.1,152,2024-06-05 05:00,,0.2,13,22,1,121.20251473,25.06100357,18
桃園,桃園市,48,,良好,1.3,0.33,20.8,34.2,30,14,15.3,15.8,0.4,0.5,199,2024-06-05 05:00,,0.3,14.9,23,1,121.30500531,24.9947107,17
大同,臺北市,55,細懸浮微粒,普通,0.8,0.79,14,29.2,27,20,23.3,27.5,4.1,-,-,2024-06-05 05:00,,0.5,17.1,32,0,121.51342074,25.06331455,16
松山,臺北市,51,細懸浮微粒,普通,1.4,0.2,30.8,39.1,28,17,8.3,8.1,0,0.2,137,2024-06-05 05:00,,0.2,15.7,28,1,121.578611,25.05,15
古亭,臺北市,47,,良好,1.9,0.33,31.2,45.2,26,20,11.6,12.2,0.6,0.9,304,2024-06-05 05:00,,0.2,14.5,24,1,121.529556,25.020608,14
萬華,臺北市,44,,良好,0.9,0.4,26.6,39.3,34,19,17.6,18.7,1.1,0.7,288,2024-06-05 05:00,,0.3,13.6,28,0,121.507972,25.046503,13
中山,臺北市,41,,良好,0.8,0.36,28.6,40.9,28,18,13.4,13.8,0.4,1.2,232,2024-06-05 05:00,,0.2,12.5,27,0,121.526528,25.062361,12
士林,臺北市,46,,良好,0.7,0.4,23,48.7,29,22,21.3,21.9,0.5,1,175,2024-06-05 05:00,,0.2,14.1,25,0,121.51666356,25.10334003,11
淡水,新北市,48,,良好,0.9,0.35,30.1,52.8,27,17,13,13.8,0.7,2.3,140,2024-06-05 05:00,,0.2,13.1,28,1,121.449239,25.1645,10
林口,新北市,39,,良好,1,0.27,35.9,38.8,26,17,14.2,15.5,1.2,1.4,119,2024-06-05 05:00,,0.2,12,25,0,121.36548982,25.07798949,9
菜寮,新北市,39,,良好,1.8,0.41,22,40.6,31,16,16.8,17.1,0.2,1.5,187,2024-06-05 05:00,,0.3,12,27,1,121.481028,25.06895,8
新莊,新北市,56,細懸浮微粒,普通,1,0.33,15.8,32.9,34,23,16.8,17.3,0.5,0.6,148,2024-06-05 05:00,,0.3,17.6,31,0,121.4325,25.037972,7
板橋,新北市,41,,良好,0.8,0.3,30.9,39.1,26,15,11.1,11.6,0.5,0.9,224,2024-06-05 05:00,,0.3,12.5,26,0,121.458667,25.012972,6
土城,新北市,63,細懸浮微粒,普通,1,0.29,29.2,39.3,31,21,9.3,9.6,0.2,0.8,125,2024-06-05 05:00,,0.2,20.2,28,1,121.451861,24.982528,5
新店,新北市,53,細懸浮微粒,普通,0.9,0.24,39.4,51.6,25,18,5.6,6.7,1.1,0.7,265,2024-06-05 05:00,,0.2,16.3,23,1,121.537778,24.977222,4
萬里,新北市,31,,良好,0.3,0.18,21.2,32.7,23,13,3.9,4.4,0.5,1.7,199,2024-06-05 05:00,,0.1,9.5,23,1,121.689881,25.179667,3
汐止,新北市,42,,良好,0.3,0.2,20.1,36.0,23,10,17.7,18.6,0.9,0.8,42,2024-06-05 05:00,,0.1,12.9,23,1,121.64081,25.06624,2
基隆,基隆市,45,,良好,0.3,0.18,49.8,49.8,23,11,2.5,2.7,0.1,0.7,93,2024-06-05 05:00,,0.1,9.7,23,1,121.760056,25.129167,1
屏東(枋山),屏東縣,67,臭氧八小時,普通,0.3,0.16,42.3,60.7,30,8,3.3,3.3,0,1.1,264,2024-06-05 04:00,,0.1,7.2,22,0,120.651472,22.260899,313
大甲（日南國小）,臺中市,37,,良好,0.5,0.35,30.9,36.8,6,5,7.2,7.5,0.3,0.4,57,2024-06-05 04:00,,0.4,11.4,18,0,120.65525382,24.39017512,312
新北(樹林),新北市,62,細懸浮微粒,普通,0.4,0.23,18.5,22.1,31,20,6.5,6.9,0.3,0,64,2024-06-05 04:00,,0.3,20.1,30,0,121.38352778,24.94902778,311
屏東（琉球）,屏東縣,35,,良好,3.2,0.32,27,38.1,21,6,10.7,10.9,0.2,1,288,2024-06-05 04:00,,0.2,8.1,13,0,120.37722,22.35222,204
臺南（麻豆）,臺南市,37,,良好,0.2,0.21,29.4,40.4,22,7,4.4,5.3,0.8,0.2,13,2024-06-05 04:00,,0.2,7.5,16,0,120.24583056,23.17904722,203
高雄（湖內）,高雄市,26,,良好,0.5,0.21,21.5,28.5,9,6,5.6,7.2,1.6,0.4,2,2024-06-05 04:00,,0.2,6.4,9,1,120.24535,22.87985556,202
彰化（員林）,彰化縣,47,,良好,1.1,0.23,25.9,42.0,17,9,4.2,4.2,0,0.3,6,2024-06-05 04:00,,0.2,14.5,24,1,120.56373,23.96117,201
大城,彰化縣,49,,良好,0.7,0.2,26.9,41.4,34,19,6.2,6.9,0.6,0.9,93,2024-06-05 04:00,,0.1,15,27,1,120.26964167,23.85493056,85
富貴角,新北市,51,臭氧八小時,普通,1.6,0.13,51.5,55.3,34,15,2.8,2.9,0,2.6,116,2024-06-05 04:00,,0.1,11,30,0,121.53656894,25.29681695,84
麥寮,雲林縣,45,,良好,1,0.23,24.5,40.1,23,18,4.1,4.5,0.3,0.7,40,2024-06-05 04:00,,0.2,14,20,1,120.251825,23.753506,83
關山,臺東縣,29,,良好,0.9,0.16,27.7,27.0,26,8,1.3,2.3,0.9,0.3,303,2024-06-05 04:00,,0.1,9,25,0,121.161933,23.045083,80
馬公,澎湖縣,71,臭氧八小時,普通,1.1,0.16,59.2,61.3,18,12,2.6,3.1,0.4,1.4,351,2024-06-05 04:00,,0.1,11.2,25,1,119.566158,23.569031,78
金門,金門縣,42,,良好,0.5,0.2,53.6,45.7,11,8,3.7,4.1,0.4,1.9,331,2024-06-05 04:00,,0.2,10.3,14,1,118.312256,24.432133,77
馬祖,連江縣,50,,良好,2.1,0.42,45.5,54.0,30,13,5.6,6.2,0.5,3.1,339,2024-06-05 04:00,,0.2,13.3,26,1,119.93149378,26.15188416,75
埔里,南投縣,35,,良好,1.1,0.2,33.2,38.1,9,13,2,3,1,0.5,293,2024-06-05 04:00,,0.2,9.2,11,1,120.967903,23.968842,72
復興,高雄市,28,,良好,0.7,0.24,32.9,30.1,4,0,7.4,8.2,0.7,0.7,288,2024-06-05 04:00,,0.3,3.7,10,1,120.312017,22.608711,71
永和,新北市,44,,良好,0.8,0.41,29.3,43.6,25,15,13.1,14.2,1,0.2,226,2024-06-05 04:00,,0.3,13.5,21,0,121.516306,25.017,70
竹山,南投縣,42,,良好,0.7,0.18,24.6,40.6,15,15,5.1,5.7,0.6,0.7,43,2024-06-05 04:00,,0.1,12.9,16,1,120.677306,23.756389,69
中壢,桃園市,59,細懸浮微粒,普通,1.5,0.51,19.2,19.0,26,22,20.3,24.9,4.5,0.2,196,2024-06-05 04:00,,0.9,18.6,28,1,121.221667,24.953278,68
三重,新北市,48,,良好,0.8,0.7,15,27.3,30,13,29.2,49.3,20,-,-,2024-06-05 04:00,,0.5,12.6,27,1,121.493806,25.072611,67
冬山,宜蘭縣,39,,良好,0.3,0.19,18.6,21.8,32,11,3.3,4.2,0.8,0.5,3,2024-06-05 04:00,,0.2,12,30,0,121.792928,24.632203,66
宜蘭,宜蘭縣,28,,良好,1,0.2,22.3,23.4,18,7,2,2.6,0.5,0.7,179,2024-06-05 04:00,,0.2,8.7,21,1,121.746394,24.747917,65
陽明,臺北市,58,臭氧八小時,普通,0.8,0.18,56,57.2,24,10,1,1.2,0.1,2.5,190,2024-06-05 04:00,,0.1,9.5,24,1,121.529583,25.182722,64
花蓮,花蓮縣,35,,良好,0.5,0.2,42.4,39.0,25,11,1.6,2.2,0.6,1.6,230,2024-06-05 04:00,,0.2,10.4,23,0,121.599769,23.971306,63
臺東,臺東縣,39,,良好,1.1,0.15,40.8,42.5,25,8,1.6,2.6,1,1.1,303,2024-06-05 04:00,,0.1,7.8,25,1,121.15045,22.755358,62
恆春,屏東縣,51,臭氧八小時,普通,0.2,0.16,55.2,55.6,23,11,0.7,0.4,0,6.9,37,2024-06-05 04:00,,0.1,9.8,20,0,120.788928,21.958069,61
潮州,屏東縣,24,,良好,0.4,0.17,17.6,25.7,30,8,4.8,5.2,0.3,0.9,44,2024-06-05 04:00,,0.1,7.3,21,1,120.561175,22.523108,60
屏東,屏東縣,31,,良好,0.8,0.19,26.9,34.6,11,2,4.2,5.2,0.9,0.4,344,2024-06-05 04:00,,0.2,4.1,12,1,120.488033,22.673081,59
小港,高雄市,29,,良好,1.8,0.25,25.3,31.9,4,5,13.8,14.8,1,0.6,303,2024-06-05 04:00,,0.2,6,10,1,120.337736,22.565833,58
前鎮,高雄市,26,,良好,1.2,0.23,33.4,28.5,13,3,8.9,9.3,0.3,0.9,7,2024-06-05 04:00,,0.3,4.9,13,1,120.30833356,22.6044507,57
前金,高雄市,32,,良好,0,0.2,38.9,35.2,4,2,4.2,4.8,0.5,1.3,341,2024-06-05 04:00,,0.2,3.3,11,0,120.28676111,22.63390278,56
左營,高雄市,29,,良好,0.4,0.23,28.2,31.4,13,8,6.4,6.7,0.2,1,344,2024-06-05 04:00,,0.2,7.7,13,0,120.292917,22.674861,54
楠梓,高雄市,29,,良好,0.4,0.22,21.5,31.4,21,5,8.2,9,0.8,0.4,44,2024-06-05 04:00,,0.2,4.8,12,1,120.328289,22.733667,53
林園,高雄市,31,,良好,1.9,0.2,29.1,33.5,23,8,6.2,6.9,0.6,0.7,38,2024-06-05 04:00,,0.2,8,22,1,120.41175,22.4795,52
大寮,高雄市,24,,良好,1.4,0.22,19.2,26.7,22,1,8.6,9.2,0.5,0.1,322,2024-06-05 04:00,,0.2,5.7,18,3,120.425311,22.56413611,51
鳳山,高雄市,32,,良好,1.8,0.25,27.5,35.4,11,0,8.3,8.8,0.4,0.3,7,2024-06-05 04:00,,0.2,4,12,1,120.357422,22.628126,50
仁武,高雄市,29,,良好,1,0.27,23.6,31.7,15,5,12.9,13.7,0.8,1.2,347,2024-06-05 04:00,,0.2,6.7,11,1,120.332631,22.689056,49
橋頭,高雄市,29,,良好,0.9,0.21,22.7,31.7,17,10,6.7,7.5,0.7,1.2,12,2024-06-05 04:00,,0.2,5.5,13,1,120.305689,22.757506,48
美濃,高雄市,29,,良好,0.6,0.2,18.2,31.7,20,0,2.3,3,0.6,0.9,172,2024-06-05 04:00,,0.1,2,14,0,120.530542,22.883583,47
臺南,臺南市,33,,良好,0.8,0.25,26.5,36.6,13,9,12.4,12.3,0,1,17,2024-06-05 04:00,,0.2,8,10,0,120.21947897,22.98928311,46
安南,臺南市,41,,良好,0.5,0.28,18,35.4,24,18,17.4,18.2,0.8,0.3,329,2024-06-05 04:00,,0.2,12.6,19,1,120.2175,23.048197,45
善化,臺南市,33,,良好,0.3,0.17,25.4,36.2,11,6,3.2,3.7,0.4,0.3,289,2024-06-05 04:00,,0.1,6.9,10,1,120.29740529,23.11337642,44
新營,臺南市,43,,良好,0.9,0.21,30.6,47.0,22,1,4.6,6.2,1.5,0.3,30,2024-06-05 04:00,,0.2,4.7,13,1,120.31725,23.305633,43
嘉義,嘉義市,41,,良好,0.9,0.19,32.7,44.3,8,1,3.1,4.1,0.9,1.2,103,2024-06-05 04:00,,0.2,3.1,7,1,120.44125148,23.46477865,42
臺西,雲林縣,39,,良好,0.4,0.21,33.7,42.4,20,10,2.6,3,0.4,0.4,39,2024-06-05 04:00,,0.1,10.3,21,1,120.19933333,23.702175,41
朴子,嘉義縣,41,,良好,0.8,0.24,26.1,44.2,32,19,5.7,6.9,1.2,0.4,50,2024-06-05 04:00,,0.2,8.8,16,1,120.2478,23.46538,40
新港,嘉義縣,47,,良好,1.1,0.21,28.4,45.7,23,15,5.4,6.8,1.4,0.4,77,2024-06-05 04:00,,0.2,14.5,28,1,120.345531,23.554839,39
崙背,雲林縣,58,細懸浮微粒,普通,0.3,0.28,21.9,36.5,32,16,6.8,9.3,2.4,0.2,323,2024-06-05 04:00,,0.2,18.3,27,0,120.348742,23.757547,38
斗六,雲林縣,41,,良好,1.8,0.24,25.4,44.7,16,7,7.2,8.3,1.1,0.2,87,2024-06-05 04:00,,0.2,11,20,1,120.544994,23.711853,37
南投,南投縣,36,,良好,0.1,0.2,24.6,39.3,26,9,2.6,3.9,1.3,0.2,53,2024-06-05 04:00,,0.2,9.2,21,0,120.685306,23.913,36
二林,彰化縣,64,細懸浮微粒,普通,0.8,0.26,20.9,38.6,32,22,5,5.6,0.5,0.9,64,2024-06-05 04:00,,0.2,20.6,31,1,120.409653,23.925175,35
線西,彰化縣,47,,良好,0.6,0.23,31.2,43.8,24,13,5,5.6,0.5,0.8,99,2024-06-05 04:00,,0.2,14.5,27,1,120.469061,24.131672,34
彰化,彰化縣,39,,良好,0.3,0.21,28,42.7,14,7,2.6,3.8,1.2,0.4,324,2024-06-05 04:00,,0.2,11.3,22,1,120.541519,24.066,33
西屯,臺中市,54,細懸浮微粒,普通,0.9,0.29,27.1,40.2,28,14,10.1,11.3,1.2,0.7,11,2024-06-05 04:00,,0.2,16.9,27,1,120.616917,24.162197,32
忠明,臺中市,45,,良好,1.4,0.34,21.3,42.4,21,16,13.6,15,1.3,0.3,356,2024-06-05 04:00,,0.2,14,22,1,120.641092,24.151958,31
大里,臺中市,58,細懸浮微粒,普通,1,0.28,21.7,37.9,21,15,4.5,4.9,0.3,0.6,87,2024-06-05 04:00,,0.3,18.2,22,1,120.67844444,24.09961111,30
沙鹿,臺中市,40,,良好,0.9,0.29,24.6,43.8,21,13,22.2,22.7,0.4,0.3,75,2024-06-05 04:00,,0.2,12.3,20,1,120.568794,24.225628,29
豐原,臺中市,36,,良好,0.9,0.21,24.6,36.7,14,6,3,4,1,1.7,91,2024-06-05 04:00,,0.2,11,17,1,120.74252414,24.25699731,28
三義,苗栗縣,34,,良好,1,0.24,34.6,32.4,10,3,5.7,7,1.3,0.3,271,2024-06-05 04:00,,0.2,10.4,16,1,120.75956754,24.38248443,27
苗栗,苗栗縣,30,,良好,0.9,0.17,26.9,27.6,9,10,1.8,3.3,1.5,0.7,16,2024-06-05 04:00,,0.2,9.2,12,1,120.82011468,24.56499183,26
頭份,苗栗縣,31,,良好,0.9,0.2,38.5,28.8,12,8,1.7,2.9,1.1,1.1,62,2024-06-05 04:00,,0.3,9.4,15,1,120.89869286,24.69690679,25
新竹,新竹市,37,,良好,0.3,0.23,51.3,24.6,13,13,3.4,4.1,0.7,1.2,56,2024-06-05 04:00,,0.4,11.5,14,1,120.97236752,24.8056356,24
竹東,新竹縣,28,,良好,0.3,0.21,19.4,19.9,14,7,3.6,3.9,0.3,0.2,150,2024-06-05 04:00,,0.2,8.5,19,1,121.08895493,24.74091408,23
湖口,新竹縣,51,細懸浮微粒,普通,0.5,0.31,48.3,27.4,18,16,4,5.1,1.1,0.4,146,2024-06-05 04:00,,0.4,15.5,26,1,121.03886894,24.90009696,22
龍潭,桃園市,52,細懸浮微粒,普通,1,0.26,18,24.0,19,12,12.4,13.2,0.8,0.6,182,2024-06-05 04:00,,0.3,16.1,27,1,121.21645772,24.86400048,21
平鎮,桃園市,45,,良好,0.8,0.31,25.3,29.9,21,14,13.3,14.3,1,0.7,165,2024-06-05 04:00,,0.4,14,27,1,121.203986,24.952786,20
觀音,桃園市,55,細懸浮微粒,普通,0.8,0.25,30,33.0,22,16,10.9,11.2,0.3,0.6,172,2024-06-05 04:00,,0.2,17.3,27,1,121.08283092,25.03556747,19
大園,桃園市,43,,良好,0.4,0.3,28.4,37.5,17,15,9.8,10.4,0.5,1.2,172,2024-06-05 04:00,,0.2,13.2,23,1,121.20251473,25.06100357,18
桃園,桃園市,52,細懸浮微粒,普通,0.9,0.3,32.3,36.4,15,17,10.7,11,0.2,1.1,205,2024-06-05 04:00,,0.3,16,23,1,121.30500531,24.9947107,17
大同,臺北市,52,細懸浮微粒,普通,0.6,0.71,21.4,30.6,31,17,22.9,26.3,3.4,-,-,2024-06-05 04:00,,0.5,16.1,32,0,121.51342074,25.06331455,16
松山,臺北市,48,,良好,1.7,0.22,32.6,39.5,33,14,9.3,9.3,0,0.7,68,2024-06-05 04:00,,0.2,14.9,28,1,121.578611,25.05,15
古亭,臺北市,44,,良好,1.7,0.36,29.5,47.2,26,16,10.9,11.4,0.4,0.5,191,2024-06-05 04:00,,0.2,13.3,24,1,121.529556,25.020608,14
萬華,臺北市,39,,良好,0.7,0.41,28,40.6,33,15,19.6,20.2,0.6,0.4,150,2024-06-05 04:00,,0.3,12.1,27,0,121.507972,25.046503,13
中山,臺北市,38,,良好,0.7,0.28,38.8,41.7,30,11,9.1,9.7,0.5,1,176,2024-06-05 04:00,,0.2,11.7,27,0,121.526528,25.062361,12
士林,臺北市,48,,良好,0.4,0.18,48.3,52.2,23,10,3.8,4.3,0.4,1,195,2024-06-05 04:00,,0.1,12,23,0,121.51666356,25.10334003,11
淡水,新北市,54,臭氧八小時,普通,0.8,0.25,44.1,57.0,25,11,5.4,6.1,0.7,2.1,140,2024-06-05 04:00,,0.1,12.5,30,1,121.449239,25.1645,10
林口,新北市,55,二氧化氮,普通,1.4,0.35,11,40.3,30,15,37.5,42.5,4.9,0.9,114,2024-06-05 04:00,,0.2,10.8,25,0,121.36548982,25.07798949,9
菜寮,新北市,40,,良好,1.1,0.39,28.8,43.6,32,15,15.4,15.8,0.4,1.1,189,2024-06-05 04:00,,0.2,11,26,1,121.481028,25.06895,8
新莊,新北市,52,細懸浮微粒,普通,1.3,0.34,15.8,36.1,43,25,17.6,18.1,0.5,0.8,158,2024-06-05 04:00,,0.3,16,29,0,121.4325,25.037972,7
板橋,新北市,38,,良好,0.9,0.31,28.5,40.4,24,17,12.5,13,0.4,0.4,212,2024-06-05 04:00,,0.3,11.6,27,0,121.458667,25.012972,6
土城,新北市,62,細懸浮微粒,普通,0.9,0.28,30.9,40.8,25,21,10.8,11.1,0.3,1,152,2024-06-05 04:00,,0.3,20.1,28,1,121.451861,24.982528,5
新店,新北市,51,細懸浮微粒,普通,0.7,0.24,44.5,53.3,24,13,4.2,5.4,1.1,0.8,162,2024-06-05 04:00,,0.2,15.6,23,1,121.537778,24.977222,4
萬里,新北市,30,,良好,0.3,0.18,22.6,32.2,23,10,6.4,6.9,0.5,2.1,203,2024-06-05 04:00,,0.1,8.7,24,1,121.689881,25.179667,3
汐止,新北市,43,,良好,0.5,0.23,17,39.2,23,13,20.6,21.6,1,0.7,60,2024-06-05 04:00,,0.1,13.1,23,1,121.64081,25.06624,2
基隆,基隆市,45,,良好,0.3,0.19,49.4,49.4,22,9,2.5,2.8,0.2,1.4,98,2024-06-05 04:00,,0.1,9.3,23,1,121.760056,25.129167,1
屏東(枋山),屏東縣,74,臭氧八小時,普通,0.2,0.15,63.3,62.5,27,8,1.9,1.9,0,1.7,307,2024-06-05 03:00,,0.1,7.3,21,0,120.651472,22.260899,313
大甲（日南國小）,臺中市,44,,良好,0.1,0.36,35.7,38.4,6,6,6.2,6.4,0.2,0.4,134,2024-06-05 03:00,,0.4,13.5,21,0,120.65525382,24.39017512,312
新北(樹林),新北市,62,細懸浮微粒,普通,0.3,0.25,20.1,22.6,26,20,6,6.4,0.4,0.1,74,2024-06-05 03:00,,0.3,20,31,0,121.38352778,24.94902778,311
屏東（琉球）,屏東縣,36,,良好,0.5,0.21,31.1,39.4,12,4,5.8,6.1,0.3,1.4,284,2024-06-05 03:00,,0.2,8.5,11,0,120.37722,22.35222,204
臺南（麻豆）,臺南市,39,,良好,0,0.2,29.5,42.3,17,8,4.9,5.8,0.9,0.2,28,2024-06-05 03:00,,0.1,8.1,15,0,120.24583056,23.17904722,203
高雄（湖內）,高雄市,29,,良好,0.4,0.21,23.4,31.6,13,6,5.6,6.8,1.2,0.4,335,2024-06-05 03:00,,0.2,6.5,9,1,120.24535,22.87985556,202
彰化（員林）,彰化縣,53,細懸浮微粒,普通,1.1,0.23,28.3,46,22,12,4.7,4.7,0,0.3,9,2024-06-05 03:00,,0.2,16.2,26,1,120.56373,23.96117,201
大城,彰化縣,46,,良好,0.8,0.19,29.8,45.3,36,19,4,5.5,1.4,1,112,2024-06-05 03:00,,0.1,14.1,25,1,120.26964167,23.85493056,85
富貴角,新北市,51,臭氧八小時,普通,1.5,0.13,55,55.9,30,12,2.9,3,0,2.3,102,2024-06-05 03:00,,0.1,10.5,29,0,121.53656894,25.29681695,84
麥寮,雲林縣,44,,良好,1,0.22,31,43.8,25,18,3.8,4.1,0.2,0.5,66,2024-06-05 03:00,,0.2,13.5,19,1,120.251825,23.753506,83
關山,臺東縣,28,,良好,0.6,0.15,21.4,28.3,27,10,1.7,2.7,0.9,0.8,274,2024-06-05 03:00,,0.1,8.7,25,0,121.161933,23.045083,80
馬公,澎湖縣,74,臭氧八小時,普通,1.1,0.16,60.9,62.4,24,9,2.8,3.6,0.8,0.2,30,2024-06-05 03:00,,0.2,11,26,1,119.566158,23.569031,78
金門,金門縣,41,,良好,0.6,0.19,53.8,44.2,15,11,4.2,4.7,0.5,2.3,324,2024-06-05 03:00,,0.2,11.5,16,2,118.312256,24.432133,77
馬祖,連江縣,54,臭氧八小時,普通,1.1,0.23,51.8,56.3,27,18,4,4.5,0.5,2.8,334,2024-06-05 03:00,,0.2,13.4,25,1,119.93149378,26.15188416,75
埔里,南投縣,35,,良好,1,0.2,33.5,38.8,9,7,1.9,2.9,0.9,0.5,54,2024-06-05 03:00,,0.2,8.5,11,1,120.967903,23.968842,72
復興,高雄市,28,,良好,2.9,0.31,24.6,30.7,16,2,15.5,17,1.5,0.8,130,2024-06-05 03:00,,0.4,4.5,12,1,120.312017,22.608711,71
永和,新北市,43,,良好,0.5,0.37,37.8,45.3,16,18,9.3,11.2,1.8,0.7,270,2024-06-05 03:00,,0.3,13.3,21,0,121.516306,25.017,70
竹山,南投縣,40,,良好,0.6,0.18,26.3,43.7,17,10,4.8,5.6,0.7,0.3,244,2024-06-05 03:00,,0.1,12.3,15,1,120.677306,23.756389,69
中壢,桃園市,56,細懸浮微粒,普通,1.6,0.49,29.1,18.3,25,17,13.6,15.8,2.1,0.2,275,2024-06-05 03:00,,1.1,17.5,30,1,121.221667,24.953278,68
三重,新北市,45,,良好,0.7,0.44,25.2,28.5,25,14,27.3,43.1,15.8,-,-,2024-06-05 03:00,,0.5,12.1,27,1,121.493806,25.072611,67
冬山,宜蘭縣,40,,良好,0.3,0.2,20,22.8,25,12,3,3.6,0.6,0.9,277,2024-06-05 03:00,,0.2,12.4,29,0,121.792928,24.632203,66
宜蘭,宜蘭縣,28,,良好,0.7,0.18,22,23.6,20,6,2,2.6,0.5,0.7,218,2024-06-05 03:00,,0.2,8.7,21,1,121.746394,24.747917,65
陽明,臺北市,61,臭氧八小時,普通,0.9,0.18,55.9,58.1,24,9,1.2,1.5,0.2,2.5,190,2024-06-05 03:00,,0.1,9.1,24,1,121.529583,25.182722,64
花蓮,花蓮縣,36,,良好,0.6,0.2,43.9,39.3,22,11,1.3,2.2,0.8,2,214,2024-06-05 03:00,,0.2,10.3,23,0,121.599769,23.971306,63
臺東,臺東縣,40,,良好,1.1,0.15,46.6,43.8,24,9,1.8,2.8,0.9,1.3,300,2024-06-05 03:00,,0.1,7.9,25,1,121.15045,22.755358,62
恆春,屏東縣,51,臭氧八小時,普通,,0.16,54.9,55.4,19,13,0.7,0.6,0,8,36,2024-06-05 03:00,,0.1,9.4,19,0,120.788928,21.958069,61
潮州,屏東縣,25,,良好,0.2,0.17,21.1,27.9,25,5,4.8,5.3,0.4,0.8,10,2024-06-05 03:00,,0.1,7.2,20,1,120.561175,22.523108,60
屏東,屏東縣,33,,良好,0.7,0.2,29.1,36.9,20,0,5,5.9,0.8,0.7,347,2024-06-05 03:00,,0.2,5.8,14,1,120.488033,22.673081,59
小港,高雄市,31,,良好,0.5,0.22,30.9,33.0,4,3,7.2,8.3,1.1,0.6,323,2024-06-05 03:00,,0.2,6.5,12,1,120.337736,22.565833,58
前鎮,高雄市,27,,良好,3.6,0.29,24,29.2,13,4,15.7,16.3,0.5,1.2,359,2024-06-05 03:00,,0.3,5,14,1,120.30833356,22.6044507,57
